gene,pVal
"CDA",0.00223361063097009
"KLRB1",0.00225634082362273
"PTRH2",0.00226373720161913
"CAMK2N1",0.0022862097346822
"CPE",0.00229716739132174
"SLC25A24",0.00232581534838735
"SLC25A38",0.00236907171462129
"PLP2",0.0023811452948495
"RHOB",0.0023986691276685
"MMD",0.00241131095459786
"RAN",0.00241751562448237
"GUSB",0.00243259942493915
"OTUB2",0.00243409406528514
"APOL2",0.00244469527160887
"ATP1A1",0.00244974646304404
"MT1G",0.00248468623122734
"SNX10",0.0024857009465749
"FAM189B",0.0025256881713328
"PROS1",0.00253621245301622
"ENO1",0.00260903828634956
"AP2M1",0.00262245236107218
"DHRS7B",0.00264117549874554
"IL8",0.00266649554122276
"ZNF552",0.0026676306990809
"PLOD2",0.00272057204287537
"DYNC1LI1",0.00273407589414003
"WDR74",0.00275237769715398
"PSMB9",0.00275591569733029
"NUP35",0.00278377305073501
"COMTD1",0.00280344127870908
"PPOX",0.00282842841725833
"ATP5L",0.00283223781944424
"DGKA",0.0028980019967796
"SNHG12",0.00293865934071764
"CXCL6",0.00295868505555336
"CLDN14",0.00301987093152714
"RDH13",0.00301987093152714
"DCAF15",0.00301987093152714
"MXD3",0.00301987093152714
"OAT",0.00301987093152714
"SERF2",0.00302372643019466
"QPRT",0.00306654481742493
"N6AMT2",0.00306907892860806
"CEP97",0.00307550336649545
"ATP7A",0.00314639756148429
"ZNF701",0.00314639756148429
"HAP1",0.00327773888977577
"RBMS2",0.00327773888977577
"RBM4B",0.00327773888977577
"IPO11",0.00327773888977577
"ANXA5",0.00327993997256652
"EMC3",0.00332419946704669
"APTX",0.00338579220341539
"RP11-110G21.1",0.00341405632460907
"YY2",0.00341405632460907
"APRT",0.00347576312161242
"IKBKG",0.00350571494400885
"SYNJ1",0.00355551576762582
"COX5A",0.00356264212260337
"PSMB3",0.00361481549813764
"CTA-29F11.1",0.00369231391609851
"RP11-755B10.4",0.00370228770267165
"KCTD13",0.00370228770267165
"EIF4A1",0.00374373352395376
"RP11-119B16.2",0.00374413359524837
"ATP6V1E1",0.00379598736905833
"YWHAH",0.00380138157495503
"H1F0",0.00382156029966032
"OXT",0.00393743816037128
"PREB",0.0039422637791897
"AC003075.4",0.00400476643443327
"ISY1",0.00400476643443327
"F10",0.00406364397588694
"MTG2",0.00407197446412357
"TGOLN2",0.00407638446646884
"RNF128",0.0043019078994868
"SPTBN1",0.00432094703789451
"CENPT",0.00436172882741845
"ZSWIM6",0.00437383651049054
"PTPN21",0.00438693248222209
"MAD2L1BP",0.00441457722951442
"PA2G4",0.00441748621597842
"RAD17",0.00459442430113329
"LRG1",0.00459469815494053
"USP18",0.00463484027588469
"NR3C1",0.00469624177635039
"PGLYRP2",0.00471429689421187
"ATPIF1",0.00471637096613144
"PRR13",0.00478569603520949
"WDR83OS",0.00478809196901081
"CD81",0.00485953266457839
"NDUFAB1",0.00487131373933957
"IL1R2",0.00492629566362871
"MRPL32",0.00492678943769585
"NFU1",0.00493217554296804
"THBS1",0.00494333309031644
"ERI3",0.00498104576208293
"HMGCL",0.00502326157740463
"PPIB",0.00509965580563523
"GTF2I",0.00523389846848207
"CCNDBP1",0.005263902809671
"RPL34",0.00533891919645638
"ZCCHC7",0.00537009312659652
"FPGT",0.00539462721039926
"NEAT1",0.00540464354407616
"CD52",0.00542567310270789
"GAPDH",0.00553835779845124
"AUH",0.0055626814722175
"FANCF",0.00565914789354778
"HSP90AB1",0.00569390326072631
"DUSP5",0.00571630133185993
"FUZ",0.00572880262335854
"DAD1",0.00579125626087284
"UCHL1",0.00593367977258725
"RBM18",0.00595931416591996
"ACTB",0.00596050388407612
"TMSB10",0.00596052156049496
"C18orf8",0.00608153447208256
"FAM71E1",0.00615235841033289
"PDLIM1",0.00617350514456201
"RABAC1",0.00622776899885099
"RPS15A",0.00625715612492823
"WDR4",0.00626513525360263
"SEC61A2",0.00626513525360263
"STX18",0.00626898365105204
"PQBP1",0.00635912237995839
"TTC13",0.00637796577775267
"RAB31",0.00637796577775267
"MARCKSL1",0.00640901318247879
"PTPN4",0.00642918690105585
"SNRPA1",0.00648589043941607
"DOK4",0.00649534747415561
"COQ10B",0.00651278604558964
"RP11-1094M14.11",0.00652359352367487
"ANXA3",0.00658951676556444
"STARD13",0.00661244397409864
"UBB",0.00662797204087922
"DNAJC2",0.00670077762109581
"PHTF2",0.00676068805486649
"TWF2",0.0067915017190093
"EIF3I",0.00681847577843203
"KMT2D",0.00684625313948477
"APOBEC3G",0.00685164282329931
"PSMA7",0.00705228264622843
"ANXA1",0.00706100871156929
"TPM4",0.00707840015742834
"UNC45A",0.00708395367616532
